GO_ID	Symbol
GO:0050794	PHF10
GO:0050794	BDKRB2
GO:0050794	SERPINE2
GO:0050794	U2AF2
GO:0050794	PSPC1
GO:0050794	CBX3
GO:0050794	PHB2
GO:0050794	PIK3CB
GO:0050794	PIK3CD
GO:0050794	DDX42
GO:0050794	BCL2A1
GO:0050794	BCL2
GO:0050794	MCOLN3
GO:0050794	BNIP2
GO:0050794	BRCA2
GO:0050794	MAEA
GO:0050794	SEMA4C
GO:0050794	APC2
GO:0050794	SPDL1
GO:0050794	RFX5
GO:0050794	ZFP36L1
GO:0050794	DPF2
GO:0050794	BTG1
GO:0050794	NSUN2
GO:0050794	RELB
GO:0050794	IQGAP3
GO:0050794	BDNF
GO:0050794	RING1
GO:0050794	PRDM1
GO:0050794	BLM
GO:0050794	BICD1
GO:0050794	MCIDAS
GO:0050794	BMP1
GO:0050794	RGS7
GO:0050794	RGS12
GO:0050794	RGS2
GO:0050794	RGS3
GO:0050794	BMP5
GO:0050794	PSMD14
GO:0050794	ABCE1
GO:0050794	MYRF
GO:0050794	ZNF443
GO:0050794	HAUS6
GO:0050794	CA9
GO:0050794	ZNF280D
GO:0050794	GATAD2A
GO:0050794	DIRAS2
GO:0050794	BUB1
GO:0050794	BUB1B
GO:0050794	NSMCE4A
GO:0050794	SPRY2
GO:0050794	BNC2
GO:0050794	ABCC4
GO:0050794	MBTD1
GO:0050794	CDK2AP2
GO:0050794	FSTL3
GO:0050794	TRIM44
GO:0050794	CAPZA1
GO:0050794	CCSAP
GO:0050794	VAV3
GO:0050794	ACAA2
GO:0050794	CAPN2
GO:0050794	FAM3C
GO:0050794	ZWILCH
GO:0050794	LRRN2
GO:0050794	MCRS1
GO:0050794	CAMK2G
GO:0050794	ZBED6
GO:0050794	TACC3
GO:0050794	BAIAP2
GO:0050794	RPA1
GO:0050794	TNFAIP8L1
GO:0050794	CAP1
GO:0050794	EID2B
GO:0050794	ZBTB18
GO:0050794	TUG1
GO:0050794	SEMA6B
GO:0050794	CAMK4
GO:0050794	SEMA4B
GO:0050794	UNC13B
GO:0050794	CARM1
GO:0050794	CALM3
GO:0050794	SYNCRIP
GO:0050794	CALM1
GO:0050794	STK25
GO:0050794	CCT6A
GO:0050794	KLF2
GO:0050794	CORO2B
GO:0050794	ZNF517
GO:0050794	TUBB3
GO:0050794	SCML2
GO:0050794	BTN2A2
GO:0050794	SERPINA6
GO:0050794	IFITM3
GO:0050794	CBFB
GO:0050794	SERPINH1
GO:0050794	SORT1
GO:0050794	GNB2L1
GO:0050794	CAV2
GO:0050794	PIAS3
GO:0050794	CAV1
GO:0050794	RYK
GO:0050794	RUNX2
GO:0050794	NDC80
GO:0050794	ANKRD13B
GO:0050794	ARIH2
GO:0050794	KRIT1
GO:0050794	CCNA2
GO:0050794	CFDP1
GO:0050794	RSC1A1
GO:0050794	CLIP1
GO:0050794	RSU1
GO:0050794	TRMT10C
GO:0050794	SEPT7
GO:0050794	CDC20
GO:0050794	MXD4
GO:0050794	HTRA1
GO:0050794	CDH2
GO:0050794	ANLN
GO:0050794	ATAD2B
GO:0050794	RIN2
GO:0050794	CDC27
GO:0050794	SPAG5
GO:0050794	DRAP1
GO:0050794	NLE1
GO:0050794	CDC42EP3
GO:0050794	PM20D2
GO:0050794	MIOS
GO:0050794	CAMKK2
GO:0050794	IGF2BP2
GO:0050794	C21orf91
GO:0050794	IGF2BP1
GO:0050794	KHDRBS3
GO:0050794	PSMB9
GO:0050794	CD47
GO:0050794	CD44
GO:0050794	PSMC4
GO:0050794	SOX18
GO:0050794	IVNS1ABP
GO:0050794	POLR3G
GO:0050794	POLR3C
GO:0050794	PSMD8
GO:0050794	TERF2IP
GO:0050794	PSMD3
GO:0050794	PPARGC1B
GO:0050794	PSMD13
GO:0050794	LEPREL2
GO:0050794	PSME2
GO:0050794	CENPE
GO:0050794	CENPF
GO:0050794	ANP32B
GO:0050794	SEMA3C
GO:0050794	RIPK4
GO:0050794	PTGER4
GO:0050794	MYBBP1A
GO:0050794	ZNF678
GO:0050794	DEAF1
GO:0050794	CHERP
GO:0050794	PTK2
GO:0050794	CEBPD
GO:0050794	IL31RA
GO:0050794	IPO8
GO:0050794	CEBPG
GO:0050794	PTMA
GO:0050794	CDK4
GO:0050794	IFITM2
GO:0050794	CDKN2C
GO:0050794	PTPN9
GO:0050794	ARPC1A
GO:0050794	CDH4
GO:0050794	ARL6IP5
GO:0050794	PTPN14
GO:0050794	PTPRA
GO:0050794	PTPN12
GO:0050794	PTPN13
GO:0050794	PTPRD
GO:0050794	PTPRF
GO:0050794	RRN3
GO:0050794	PDP1
GO:0050794	PURB
GO:0050794	IQGAP2
GO:0050794	PTX3
GO:0050794	NEK6
GO:0050794	ARPP19
GO:0050794	PTPRK
GO:0050794	SRSF10
GO:0050794	RELL1
GO:0050794	PYCR1
GO:0050794	DCBLD2
GO:0050794	PLK2
GO:0050794	LEPROT
GO:0050794	PXN
GO:0050794	CHD3
GO:0050794	RCC1
GO:0050794	RAB3B
GO:0050794	CPLX2
GO:0050794	NOXA1
GO:0050794	SDCCAG3
GO:0050794	RAD23B
GO:0050794	SDCCAG8
GO:0050794	RAC3
GO:0050794	ZFAND2B
GO:0050794	RAC1
GO:0050794	CCNJ
GO:0050794	INO80
GO:0050794	ZNF273
GO:0050794	RAB27A
GO:0050794	PNMA2
GO:0050794	RALB
GO:0050794	RANBP1
GO:0050794	CNPY3
GO:0050794	CLTC
GO:0050794	MOK
GO:0050794	RAD52
GO:0050794	FAM35A
GO:0050794	EPB41L4B
GO:0050794	GNA13
GO:0050794	RAP1B
GO:0050794	CLIC1
GO:0050794	CELF1
GO:0050794	KHDRBS1
GO:0050794	GNL3L
GO:0050794	RAP2B
GO:0050794	RAP2A
GO:0050794	CLK2
GO:0050794	RARA
GO:0050794	CTCF
GO:0050794	RAI1
GO:0050794	RBBP8
GO:0050794	CLCN3
GO:0050794	MAP3K2
GO:0050794	TRABD2A
GO:0050794	PLK4
GO:0050794	NEURL1B
GO:0050794	AP3S1
GO:0050794	PTGES3
GO:0050794	CKS2
GO:0050794	CIRBP
GO:0050794	SPTAN1
GO:0050794	ARHGEF39
GO:0050794	FBXO18
GO:0050794	PATZ1
GO:0050794	CORO1C
GO:0050794	SSBP2
GO:0050794	SPARC
GO:0050794	CIRH1A
GO:0050794	SLC35B4
GO:0050794	GBA2
GO:0050794	SP4
GO:0050794	CPT1A
GO:0050794	DDAH1
GO:0050794	SOX12
GO:0050794	TIPRL
GO:0050794	CPE
GO:0050794	SORL1
GO:0050794	MAGI3
GO:0050794	SON
GO:0050794	AJUBA
GO:0050794	ORC6
GO:0050794	UBASH3B
GO:0050794	SOD2
GO:0050794	CGNL1
GO:0050794	CREB1
GO:0050794	DDX58
GO:0050794	ABHD17C
GO:0050794	PLK3
GO:0050794	FSCN1
GO:0050794	TOX2
GO:0050794	ZBED5
GO:0050794	SNRPA
GO:0050794	CREBZF
GO:0050794	KCNE4
GO:0050794	COL1A1
GO:0050794	EID1
GO:0050794	COL3A1
GO:0050794	COL4A1
GO:0050794	CNN2
GO:0050794	SMPD1
GO:0050794	SMARCB1
GO:0050794	COL7A1
GO:0050794	SNX6
GO:0050794	SMARCA4
GO:0050794	SMARCD2
GO:0050794	SMARCD1
GO:0050794	SLC7A11
GO:0050794	SLIT3
GO:0050794	RBM25
GO:0050794	COL4A2
GO:0050794	COL5A2
GO:0050794	HIST1H2AH
GO:0050794	RRAGD
GO:0050794	COL5A1
GO:0050794	SH3BP4
GO:0050794	KMT2C
GO:0050794	KLF6
GO:0050794	PRKD3
GO:0050794	ZNF462
GO:0050794	SLC16A2
GO:0050794	COL16A1
GO:0050794	ARHGAP22
GO:0050794	PAQR8
GO:0050794	NKX2-5
GO:0050794	PPP1R9B
GO:0050794	ZNF318
GO:0050794	GNB4
GO:0050794	KDM2B
GO:0050794	SLC9A7
GO:0050794	CTGF
GO:0050794	SUPV3L1
GO:0050794	SUN2
GO:0050794	HIVEP3
GO:0050794	CTBP2
GO:0050794	EML3
GO:0050794	SUPT5H
GO:0050794	SVIL
GO:0050794	VAMP2
GO:0050794	SIGIRR
GO:0050794	CTNNB1
GO:0050794	PSRC1
GO:0050794	CTSB
GO:0050794	AFAP1
GO:0050794	STC1
GO:0050794	IFIT5
GO:0050794	MTCH1
GO:0050794	MTCH2
GO:0050794	TGIF2
GO:0050794	EDA2R
GO:0050794	ST5
GO:0050794	CRIP1
GO:0050794	PAPPA2
GO:0050794	CRKL
GO:0050794	CRK
GO:0050794	NIPBL
GO:0050794	CRY1
GO:0050794	STAT3
GO:0050794	ZNF496
GO:0050794	CHTF18
GO:0050794	TROVE2
GO:0050794	MINA
GO:0050794	ZNF335
GO:0050794	CSK
GO:0050794	SPTBN2
GO:0050794	CSNK1A1
GO:0050794	CSNK1D
GO:0050794	SRI
GO:0050794	CSNK1G3
GO:0050794	TNFAIP8
GO:0050794	CSNK2A1
GO:0050794	SREBF1
GO:0050794	UBE2O
GO:0050794	SRP9
GO:0050794	SRF
GO:0050794	BACE2
GO:0050794	DHX9
GO:0050794	SEL1L
GO:0050794	PHLDB2
GO:0050794	DDX6
GO:0050794	DDT
GO:0050794	GADD45A
GO:0050794	KIAA1244
GO:0050794	SAPCD2
GO:0050794	DDB2
GO:0050794	SET
GO:0050794	WWTR1
GO:0050794	DCTN1
GO:0050794	GEMIN5
GO:0050794	NOL11
GO:0050794	DBN1
GO:0050794	ATL3
GO:0050794	LCORL
GO:0050794	NELFB
GO:0050794	AHCTF1
GO:0050794	CCL2
GO:0050794	INTS7
GO:0050794	SDC1
GO:0050794	DEFB1
GO:0050794	ZNF473
GO:0050794	CX3CL1
GO:0050794	PLEKHG5
GO:0050794	SCML1
GO:0050794	MCU
GO:0050794	CHD5
GO:0050794	AHRR
GO:0050794	ARID1B
GO:0050794	SUSD5
GO:0050794	ATRNL1
GO:0050794	HEG1
GO:0050794	NLN
GO:0050794	SAMD1
GO:0050794	KIAA1211
GO:0050794	DAPK3
GO:0050794	XPO5
GO:0050794	DAXX
GO:0050794	ANGEL2
GO:0050794	LRSAM1
GO:0050794	DGKG
GO:0050794	HIGD1A
