GO_ID	Symbol
GO:0050789	EXOSC8
GO:0050789	PHF10
GO:0050789	SERPINE2
GO:0050789	PSPC1
GO:0050789	PDAP1
GO:0050789	SERPINB6
GO:0050789	CBX3
GO:0050789	BCL7A
GO:0050789	PHB2
GO:0050789	PIK3CB
GO:0050789	RHOT1
GO:0050789	PIK3CD
GO:0050789	PIM1
GO:0050789	BCL3
GO:0050789	PIK3C2B
GO:0050789	BCL2
GO:0050789	PARK7
GO:0050789	BBS2
GO:0050789	BNIP3L
GO:0050789	CASZ1
GO:0050789	RNF43
GO:0050789	SEMA4C
GO:0050789	BRCA2
GO:0050789	MAEA
GO:0050789	SPDL1
GO:0050789	BRAF
GO:0050789	ZNF860
GO:0050789	RDX
GO:0050789	ZFP36L1
GO:0050789	PAK4
GO:0050789	DPF2
GO:0050789	BTG1
GO:0050789	RTN3
GO:0050789	KLF9
GO:0050789	IQGAP3
GO:0050789	CEACAM1
GO:0050789	PRDM1
GO:0050789	PALMD
GO:0050789	RMRP
GO:0050789	RGS10
GO:0050789	BMP1
GO:0050789	RGS7
GO:0050789	BMI1
GO:0050789	BMP2
GO:0050789	RGS2
GO:0050789	RGS3
GO:0050789	BMPR2
GO:0050789	BMP5
GO:0050789	FBXL12
GO:0050789	NDE1
GO:0050789	RNF19B
GO:0050789	MYRF
GO:0050789	PLIN3
GO:0050789	ZNF443
GO:0050789	CA9
GO:0050789	RNH1
GO:0050789	GATAD2A
GO:0050789	CALCOCO2
GO:0050789	BUB1
GO:0050789	BUB1B
GO:0050789	SPRY2
GO:0050789	KCTD9
GO:0050789	BNC2
GO:0050789	C1R
GO:0050789	MBTD1
GO:0050789	CDK2AP2
GO:0050789	TRIM44
GO:0050789	RPL26
GO:0050789	RPL24
GO:0050789	CAPZA1
GO:0050789	CAPNS1
GO:0050789	ACAA2
GO:0050789	CAPN2
GO:0050789	FAM3C
GO:0050789	ZWILCH
GO:0050789	CAPN1
GO:0050789	LRRN2
GO:0050789	MCRS1
GO:0050789	RPL18A
GO:0050789	RPL18
GO:0050789	CAMLG
GO:0050789	RPL13
GO:0050789	RPL12
GO:0050789	RPL11
GO:0050789	PTCD3
GO:0050789	RPL10
GO:0050789	RPL7A
GO:0050789	FST
GO:0050789	RPL8
GO:0050789	RPL5
GO:0050789	RPL4
GO:0050789	SLC30A9
GO:0050789	TACC3
GO:0050789	RPL3
GO:0050789	CASP3
GO:0050789	PID1
GO:0050789	RPA1
GO:0050789	CAST
GO:0050789	RPS4X
GO:0050789	TNFAIP8L1
GO:0050789	RPS3A
GO:0050789	RPS5
GO:0050789	CAP1
GO:0050789	RPS3
GO:0050789	RPS2
GO:0050789	RPLP2
GO:0050789	RPLP0
GO:0050789	SEMA6B
GO:0050789	RPL38
GO:0050789	RPL39
GO:0050789	CAMK4
GO:0050789	SEMA4B
GO:0050789	UNC13B
GO:0050789	CARM1
GO:0050789	RPL37
GO:0050789	CALM3
GO:0050789	RPL29
GO:0050789	SYNCRIP
GO:0050789	CALM1
GO:0050789	VAT1
GO:0050789	RPL32
GO:0050789	STK25
GO:0050789	RPL27
GO:0050789	RPL28
GO:0050789	RPS24
GO:0050789	SLC35F6
GO:0050789	MICU1
GO:0050789	RPS25
GO:0050789	RPS20
GO:0050789	HMG20A
GO:0050789	RPS19
GO:0050789	RPS18
GO:0050789	CCNG1
GO:0050789	NOD1
GO:0050789	RPS8
GO:0050789	RPS9
GO:0050789	CORO2B
GO:0050789	RPS13
GO:0050789	RPS6
GO:0050789	TUBB3
GO:0050789	SCML2
GO:0050789	BTN2A2
GO:0050789	RPS6KB2
GO:0050789	IFITM3
GO:0050789	CBFB
GO:0050789	SERPINH1
GO:0050789	SORT1
GO:0050789	CAV2
GO:0050789	PIAS3
GO:0050789	CAV1
GO:0050789	RYK
GO:0050789	RUNX2
GO:0050789	NDC80
GO:0050789	ANKRD13B
GO:0050789	ARIH2
GO:0050789	KRIT1
GO:0050789	SEC24B
GO:0050789	CCNA2
GO:0050789	CFDP1
GO:0050789	CCNB1
GO:0050789	CLIP1
GO:0050789	HAUS4
GO:0050789	RSU1
GO:0050789	RPS28
GO:0050789	TBC1D16
GO:0050789	SEPT7
GO:0050789	CDC20
GO:0050789	MXD4
GO:0050789	CDH1
GO:0050789	HTRA1
GO:0050789	CDH2
GO:0050789	ANLN
GO:0050789	RIN2
GO:0050789	CDC27
GO:0050789	DRAP1
GO:0050789	DNPH1
GO:0050789	NCOA7
GO:0050789	CD58
GO:0050789	FBXW5
GO:0050789	CD59
GO:0050789	CD68
GO:0050789	NLE1
GO:0050789	CDC42EP3
GO:0050789	PM20D2
GO:0050789	MIOS
GO:0050789	ENTPD2
GO:0050789	CAMKK2
GO:0050789	IGF2BP2
GO:0050789	ZC3H12D
GO:0050789	IGF2BP3
GO:0050789	SCARB2
GO:0050789	KHDRBS3
GO:0050789	PSMB9
GO:0050789	CD47
GO:0050789	PMVK
GO:0050789	CD44
GO:0050789	IVNS1ABP
GO:0050789	SIAE
GO:0050789	PSMD3
GO:0050789	PSME1
GO:0050789	MIS18A
GO:0050789	LEPREL2
GO:0050789	PSME2
GO:0050789	CENPF
GO:0050789	ANP32B
GO:0050789	PTGER2
GO:0050789	SEMA3C
GO:0050789	RIPK4
GO:0050789	CIB1
GO:0050789	SLC9B2
GO:0050789	DEAF1
GO:0050789	CHERP
GO:0050789	PTK2
GO:0050789	CEBPD
GO:0050789	IPO8
GO:0050789	CEBPG
GO:0050789	PTMA
GO:0050789	CDK4
GO:0050789	QSOX1
GO:0050789	CDKN1A
GO:0050789	CDKN3
GO:0050789	IFITM2
GO:0050789	CDKN2C
GO:0050789	PTPN1
GO:0050789	PTPN9
GO:0050789	ARPC1A
GO:0050789	PTPN6
GO:0050789	CDH4
GO:0050789	ARL6IP5
GO:0050789	PTPN14
GO:0050789	PTPRA
GO:0050789	CDH11
GO:0050789	PTPN13
GO:0050789	AGPAT2
GO:0050789	PTPRD
GO:0050789	OCIAD2
GO:0050789	PTPRF
GO:0050789	CDH17
GO:0050789	RRN3
GO:0050789	PDP1
GO:0050789	IL17RE
GO:0050789	IQGAP2
GO:0050789	NEK6
GO:0050789	ARPP19
GO:0050789	PTPRS
GO:0050789	ZMYND11
GO:0050789	PTPRK
GO:0050789	SRSF10
GO:0050789	RELL1
GO:0050789	PYCR1
GO:0050789	DCBLD2
GO:0050789	PLK2
GO:0050789	LEPROT
GO:0050789	AHCYL1
GO:0050789	TMED9
GO:0050789	PXN
GO:0050789	PVR
GO:0050789	FOXN3
GO:0050789	EGLN1
GO:0050789	RAB4A
GO:0050789	CHD3
GO:0050789	RCC1
GO:0050789	RAB3B
GO:0050789	RAB1A
GO:0050789	CPLX2
GO:0050789	SDCCAG8
GO:0050789	RAD21
GO:0050789	CCNJ
GO:0050789	INO80
GO:0050789	RAB27A
GO:0050789	PNMA2
GO:0050789	RALB
GO:0050789	DDIT4
GO:0050789	RALGDS
GO:0050789	RANBP1
GO:0050789	CNPY3
GO:0050789	CLTC
GO:0050789	MOK
GO:0050789	RAD52
GO:0050789	SGTB
GO:0050789	EPB41L4B
GO:0050789	GNA13
GO:0050789	CLIC1
GO:0050789	CELF1
GO:0050789	KHDRBS1
GO:0050789	RAP1GAP
GO:0050789	RAP2B
GO:0050789	RAP2A
GO:0050789	RARA
GO:0050789	CTCF
GO:0050789	RAI1
GO:0050789	CLCN3
GO:0050789	RBBP8
GO:0050789	MAP3K2
GO:0050789	RBM3
GO:0050789	TRABD2A
GO:0050789	AP2M1
GO:0050789	NEURL1B
GO:0050789	AP3S1
GO:0050789	PTGES3
GO:0050789	CKS2
GO:0050789	CIRBP
GO:0050789	CISH
GO:0050789	ZMYND8
GO:0050789	ZFYVE28
GO:0050789	ARHGEF39
GO:0050789	PHLDA3
GO:0050789	FBXO18
GO:0050789	PATZ1
GO:0050789	SPOCK1
GO:0050789	LINGO1
GO:0050789	CORO1C
