gene	gfp_1	gfp_2	gfp_3	mep50_1	mep50_2	mep50_3	prmt5_1	prmt5_2	prmt5_3
A1BG	0.35169772329843135	0.30594238423196896	0.1452301684917986	0.20966807157151623	0.19711120699514467	0.14495208494944806	0	0.26978326441033706	0
A1BG-AS1	1.2309420315445097	1.3767407290438602	0.726150842458993	0.8386722862860649	0.9855560349757233	1.3045687645450326	1.3724006158559452	0.9442414254361797	1.0460037973832377
A1CF	74.20821961596901	71.74348910239672	72.0341635719321	102.10835085532841	93.43071211569857	100.7416990398664	74.96738364113101	77.5626885179719	70.99750774738726
A2M-AS1	0.7033954465968627	0.30594238423196896	0.1452301684917986	0.20966807157151623	0.19711120699514467	0	0.3431001539639863	0.4046748966155056	0
A4GALT	4.2203726795811765	4.742106955595519	4.647365391737555	2.516016858858195	4.139335346898038	2.609137529090065	0.5146502309459795	2.1582661152826965	1.307504746729047
AAAS	63.481439055366856	64.70681426506144	67.67725851717815	80.72220755503375	78.64737159106272	79.2887904673481	74.62428348716702	70.2785403788928	78.31953432906992
AACS	42.02787793416255	41.30222187131581	36.30754212294965	33.75655952301411	31.932015533213438	37.3976379169576	30.53591370279478	27.383001337649212	31.510864396170035
AACSP1	0.5275465849476471	0.30594238423196896	0	1.0483403578575812	0.7884448279805787	1.4495208494944807	1.029300461891959	1.2140246898465168	1.0460037973832377
AADAC	8.440745359162353	6.271818876755364	6.390127413639139	4.822365646144873	2.1682232769465912	3.188945868887857	2.230151000765911	2.562941011898202	2.8765104428039034
AADACP1	17.93658388822	20.80408212777389	14.958707354655255	5.4513698608594225	3.7451129329077486	4.203610463533994	3.9456517705858425	6.339906713642921	4.837767562897474
AADAT	17.584886164921567	19.274370206614044	15.539628028622449	15.515437296292202	11.038227591728102	16.37958559928763	19.385158698965228	20.638419727390787	21.18157689701056
AAED1	16.881490718324706	15.297119211598448	20.186993420360004	15.305769224720684	17.148675008577587	17.82910644878211	18.870508468019246	18.345261979902922	20.00482262495442
AAGAB	137.33796094803745	142.56915105209754	134.33790585491371	135.65524230677102	118.85805781807224	127.99269101036263	107.9049984216737	99.28024130300403	94.66334366318301
AAK1	122.2149588462049	120.69427057951175	121.55765102763543	86.80258163060772	106.83427419136841	103.93064490875426	110.47824957640358	117.22082838629146	118.59068052832457
AAMDC	5.627163572774902	6.730732453103317	3.7759843807867632	4.193361431430325	6.1104474168494844	5.94303548292737	3.7741016936038494	5.800340184822247	4.707017088224569
AAMP	70.51539352133548	68.53109406796105	61.14190093504721	67.0937829028852	66.22936555036861	68.12747992624058	69.64933125468922	64.74798345848089	57.39945838140517
AAR2	44.138064273953134	46.350271211143294	45.60227290642476	47.594652246734185	50.26335778376189	50.44332556240792	41.00046839869636	45.99804658196247	50.077431799722504
AARS	611.2506430926737	623.8165214489846	628.846629569488	712.0327710568691	717.0905710483363	699.5387619660363	631.8189335246808	641.8143860321919	648.3916039029344
AARS2	26.201480385733134	27.075901004529253	27.01281133947454	20.757139085580107	25.230234495378518	27.106039885546785	28.30576270202887	27.383001337649212	26.15009493458094
AASDH	23.915445184293333	20.651110935657904	22.94636662170418	21.386143300294655	20.105343113504755	19.713483553124934	16.29725731328935	19.963961566364944	17.389813131496325
AASDHPPT	90.03461716439843	93.92431195921446	81.61935469239081	83.65756055703498	81.6040396959899	91.75466977300061	72.7372326403651	68.79473242463595	68.25174777925626
AASS	18.81582819646608	20.19219735930995	21.058374431310796	19.49913065615101	17.148675008577587	16.524537684237078	16.29725731328935	16.59167076123573	14.513302688692423
AATF	133.4692859917547	129.1076861458909	134.1926756864219	132.92955737634128	148.81896128133423	153.7941621313644	140.4995130482524	133.00314935429617	155.72381533542952
AATK	0.8792443082460784	0.30594238423196896	0.1452301684917986	0.20966807157151623	0.5913336209854341	0.43485625484834417	0.17155007698199315	0.4046748966155056	0.2615009493458094
ABALON	0.35169772329843135	0.30594238423196896	0.5809206739671944	0.41933614314303247	0.19711120699514467	0.2899041698988961	0.3431001539639863	0.4046748966155056	0.5230018986916188
ABAT	0.7033954465968627	1.2237695369278758	1.7427620219015831	4.822365646144873	4.3364465538931825	4.203610463533994	1.3724006158559452	2.8327242763085394	1.830506645420666
ABCA1	9.144140805759216	7.495588413683239	11.618413479343888	31.869546878870466	38.63379657104836	42.47096089018828	32.93761478054269	34.66714947672831	36.2178814843946
ABCA10	0.7033954465968627	0.30594238423196896	0.4356905054753958	0.8386722862860649	0.7884448279805787	1.5944729344439286	0.3431001539639863	0.8093497932310112	0.915253322710333
ABCA11P	2.4618840630890193	4.5891357634795344	4.647365391737555	4.612697574573357	2.7595568979320255	4.638466718382338	6.347352848333746	4.990990391591236	6.406773258972331
ABCA12	0.17584886164921568	1.3767407290438602	1.7427620219015831	3.7740252882872922	4.5335577608883275	5.653131313028474	3.2594514626578697	3.776965701744719	5.230018986916188
ABCA13	0	0	0	0.41933614314303247	0.39422241399028934	0.2899041698988961	1.7155007698199314	1.753591218667191	0.915253322710333
ABCA17P	0	0.30594238423196896	0.1452301684917986	0	0.19711120699514467	0	0.17155007698199315	0	0
ABCA2	42.5554245191102	40.3843947186199	43.13336004206418	56.400711252737864	59.72469571952884	59.7202589991726	57.12617563500372	53.012411456631234	60.406719298881974
ABCA3	35.169772329843134	43.596789753055575	38.34076448183483	66.25511061659913	78.45026038406758	68.56233618108894	74.28118333320303	80.93497932310112	81.98054761991125
ABCA4	0.17584886164921568	0.30594238423196896	0.2904603369835972	0.20966807157151623	0	0	0.17155007698199315	0.13489163220516853	0.39225142401871416
