GO_ID	Symbol
GO:0010243	DNAJB9
GO:0010243	RNF103
GO:0010243	EGR1
GO:0010243	NR4A2
GO:0010243	SLC38A9
GO:0010243	PPARGC1A
GO:0010243	GCLM
GO:0010243	ERLEC1
GO:0010243	ZBTB7B
GO:0010243	CPEB1
GO:0010243	CEBPB
GO:0010243	PPARA
GO:0010243	PPARG
GO:0010243	EIF6
GO:0010243	CACNA1A
GO:0010243	PCNA
GO:0010243	INSIG1
GO:0010243	ROCK1
GO:0010243	INSR
GO:0010243	NPC1
GO:0010243	DNAJB12
GO:0010243	HSP90AB1
GO:0010243	LDOC1
GO:0010243	DAG1
GO:0010243	GNAO1
GO:0010243	CPEB2
GO:0010243	TIMELESS
GO:0010243	ERLIN2
GO:0010243	KYNU
GO:0010243	GNAI1
GO:0010243	FUNDC1
GO:0010243	EDN1
GO:0010243	ADM
GO:0010243	STUB1
GO:0010243	C5AR1
GO:0010243	HSPA5
GO:0010243	PDE3A
GO:0010243	UBE4B
GO:0010243	ANKZF1
GO:0010243	PDE3B
GO:0010243	MGST2
GO:0010243	UBQLN1
GO:0010243	CACYBP
GO:0010243	CHRNA7
GO:0010243	JKAMP
GO:0010243	UGGT2
GO:0010243	SYAP1
GO:0010243	GATS
GO:0010243	ATP1A3
GO:0010243	SLC9A1
GO:0010243	MTOR
GO:0010243	RHOQ
GO:0010243	MTHFR
GO:0010243	WNT10B
GO:0010243	IRS2
GO:0010243	PTK2B
GO:0010243	CASP7
GO:0010243	RNLS
GO:0010243	CASP4
GO:0010243	HDAC5
GO:0010243	XBP1
GO:0010243	AACS
GO:0010243	WT1
GO:0010243	CAD
GO:0010243	SRSF9
GO:0010243	ID1
GO:0010243	SLC26A6
GO:0010243	PPP3CA
GO:0010243	WFS1
GO:0010243	NFKBIA
GO:0010243	TOR1A
GO:0010243	AHR
GO:0010243	CHMP5
GO:0010243	PCSK9
GO:0010243	BAG6
GO:0010243	DUSP1
GO:0010243	HDAC9
GO:0010243	VCP
GO:0010243	CFTR
GO:0010243	TMEM67
GO:0010243	F7
GO:0010243	RAB13
GO:0010243	TMUB1
GO:0010243	ACVR1C
GO:0010243	RANBP2
GO:0010243	EREG
GO:0010243	LRP1
GO:0010243	SHMT1
GO:0010243	STAT4
GO:0010243	JUND
GO:0010243	LPIN1
GO:0010243	PRNP
GO:0010243	NPLOC4
GO:0010243	JUP
GO:0010243	STAT6
GO:0010243	CPEB4
GO:0010243	NFE2L2
GO:0010243	GABRG2
GO:0010243	PDGFD
GO:0010243	CD9
GO:0010243	AUP1
GO:0010243	SLC25A33
GO:0010243	DIAPH1
GO:0010243	HCN3
GO:0010243	RPS6KB1
GO:0010243	EDEM1
GO:0010243	RAPGEF2
GO:0010243	OGT
GO:0010243	MAPK3
GO:0010243	CAT
GO:0010243	HCN2
GO:0010243	UBXN8
GO:0010243	DNAJC18
GO:0010243	TGFBR3
GO:0010243	UBE2G2
GO:0010243	FOS
GO:0010243	GLP2R
GO:0010243	PRKCI
GO:0010243	HMGCS1
GO:0010243	MIA3
GO:0010243	PRKCG
GO:0010243	NR4A3
GO:0010243	SRD5A1
GO:0010243	ANXA1
GO:0010243	SREBF2
GO:0010243	YWHAG
GO:0010243	CCND1
GO:0010243	CHUK
GO:0010243	NR4A1
GO:0010243	STT3B
GO:0010243	KLF11
GO:0042221	PRDX6
GO:0042221	DNAJB14
GO:0042221	LIG4
GO:0042221	GDI1
GO:0042221	AKAP12
GO:0042221	IER2
GO:0042221	SPP1
GO:0042221	EPG5
GO:0042221	ABL2
GO:0042221	STIP1
GO:0042221	PPP1R15B
GO:0042221	ACACB
GO:0042221	GCH1
GO:0042221	NRIP1
GO:0042221	KAT2A
GO:0042221	TMED10
GO:0042221	NCOA3
GO:0042221	ATP6V1G1
GO:0042221	ASIC1
GO:0042221	CPS1
GO:0042221	SYVN1
GO:0042221	WBP2
GO:0042221	LCOR
GO:0042221	UBE2J2
GO:0042221	PLCG2
GO:0042221	GJA1
GO:0042221	GPR180
GO:0042221	JAGN1
GO:0042221	PRDX3
GO:0042221	GGT7
GO:0042221	YOD1
GO:0042221	ABCC2
GO:0042221	ACVR2B
GO:0042221	ACVR1B
GO:0042221	RERG
GO:0042221	VPS4B
GO:0042221	ADAM10
